iter	Passed	Remaining
440	1267	1606
441	1269	1602
442	1271	1598
443	1273	1594
444	1275	1590
445	1277	1586
446	1279	1582
447	1281	1578
448	1283	1574
449	1284	1570
450	1287	1566
451	1288	1562
452	1291	1559
453	1293	1555
454	1295	1551
455	1297	1547
456	1298	1543
457	1300	1539
458	1302	1535
459	1304	1531
460	1306	1527
461	1308	1524
462	1310	1520
463	1312	1516
464	1314	1512
465	1316	1508
466	1318	1504
467	1320	1500
468	1322	1497
469	1324	1493
470	1326	1489
471	1328	1485
472	1329	1481
473	1331	1477
474	1333	1474
475	1336	1470
476	1338	1467
477	1340	1463
478	1341	1459
479	1343	1455
480	1346	1452
481	1348	1449
482	1351	1446
483	1354	1443
484	1356	1440
485	1358	1436
486	1360	1432
487	1363	1430
488	1365	1426
489	1367	1423
490	1369	1419
491	1371	1416
492	1373	1412
493	1375	1408
494	1377	1405
495	1380	1402
496	1382	1398
497	1383	1395
498	1385	1391
499	1387	1387
500	1388	1383
501	1390	1379
502	1392	1376
503	1394	1372
504	1396	1369
505	1398	1365
506	1400	1361
507	1401	1357
508	1403	1353
509	1404	1349
510	1406	1346
511	1409	1343
512	1411	1339
513	1413	1336
514	1414	1332
515	1416	1328
516	1417	1324
517	1419	1321
518	1422	1317
519	1424	1314
520	1426	1311
521	1428	1307
522	1429	1303
523	1431	1300
524	1432	1296
525	1435	1293
526	1438	1290
527	1440	1287
528	1441	1283
529	1443	1280
530	1445	1276
531	1446	1272
532	1449	1269
533	1451	1266
534	1453	1263
535	1455	1259
536	1457	1256
537	1458	1252
538	1460	1249
539	1461	1245
540	1464	1242
541	1466	1239
542	1468	1235
543	1470	1232
544	1471	1228
545	1473	1225
546	1475	1221
547	1476	1217
548	1478	1214
549	1481	1211
550	1483	1208
551	1484	1205
552	1486	1201
553	1488	1198
554	1489	1194
555	1492	1191
556	1494	1188
557	1496	1185
558	1497	1181
559	1499	1178
560	1501	1174
561	1503	1171
562	1504	1167
563	1506	1164
564	1508	1161
565	1511	1158
566	1512	1155
567	1514	1151
568	1516	1148
569	1517	1144
570	1519	1141
571	1521	1138
572	1524	1135
573	1526	1132
574	1527	1129
575	1529	1125
576	1530	1122
577	1532	1119
578	1534	1115
579	1537	1113
580	1539	1110
581	1541	1107
582	1543	1104
583	1545	1100
584	1546	1097
585	1548	1093
586	1550	1091
587	1552	1088
588	1554	1085
589	1556	1081
590	1558	1078
591	1560	1075
592	1561	1072
593	1563	1068
594	1565	1065
595	1567	1062
596	1569	1059
597	1571	1056
598	1573	1053
599	1575	1050
600	1577	1047
601	1579	1044
602	1582	1041
603	1583	1038
604	1585	1035
605	1588	1032
606	1589	1029
607	1591	1026
608	1594	1023
609	1596	1020
610	1598	1017
611	1600	1014
612	1602	1011
613	1604	1008
614	1605	1005
615	1607	1002
616	1609	999
617	1612	996
618	1614	993
619	1616	990
620	1618	988
621	1620	984
622	1622	981
623	1624	978
624	1626	976
625	1629	973
626	1631	970
627	1633	967
628	1634	964
629	1636	961
630	1639	958
631	1641	955
632	1643	952
633	1645	949
634	1646	946
635	1648	943
636	1650	940
637	1652	937
638	1655	935
639	1657	932
640	1659	929
641	1660	926
642	1662	923
643	1663	919
644	1666	917
645	1668	914
646	1670	911
647	1672	908
648	1674	905
649	1675	902
650	1677	899
651	1679	896
652	1681	893
653	1683	890
654	1685	888
655	1687	884
656	1689	881
657	1690	878
658	1692	875
659	1693	872
660	1696	869
661	1698	867
662	1700	864
663	1702	861
664	1703	858
665	1705	855
666	1707	852
667	1709	849
668	1711	846
669	1713	844
670	1715	841
671	1717	838
672	1719	835
673	1721	832
674	1724	830
675	1726	827
676	1728	824
677	1730	821
678	1731	818
679	1733	815
680	1735	812
681	1736	809
682	1738	806
683	1740	804
684	1742	801
685	1744	798
686	1746	795
687	1748	792
688	1750	790
689	1752	787
690	1754	784
691	1757	782
692	1759	779
693	1761	776
694	1763	773
695	1765	770
696	1766	768
697	1768	765
698	1770	762
699	1772	759
700	1774	756
701	1776	753
702	1778	751
703	1779	748
704	1781	745
705	1783	742
706	1785	739
707	1787	737
708	1788	734
709	1790	731
710	1792	728
711	1794	725
712	1796	722
713	1798	720
714	1800	717
715	1802	714
716	1804	712
717	1805	709
718	1807	706
719	1809	703
720	1811	700
721	1813	698
722	1815	695
723	1817	692
724	1819	690
725	1820	687
726	1822	684
727	1823	681
728	1825	678
729	1827	676
730	1829	673
731	1831	670
732	1832	667
733	1834	664
734	1836	661
735	1837	659
736	1839	656
737	1840	653
738	1842	650
739	1844	648
740	1845	645
741	1847	642
742	1849	639
743	1851	636
744	1852	634
745	1854	631
746	1856	628
747	1858	625
748	1859	623
749	1861	620
750	1862	617
751	1864	614
752	1865	612
753	1867	609
754	1869	606
755	1871	603
756	1873	601
757	1875	598
758	1876	595
759	1878	593
760	1879	590
761	1881	587
762	1883	584
763	1885	582
764	1887	579
765	1888	576
766	1890	574
767	1891	571
768	1893	568
769	1894	565
770	1896	563
771	1897	560
772	1899	557
773	1901	555
774	1902	552
775	1904	549
776	1906	547
777	1907	544
778	1909	541
779	1910	538
780	1912	536
781	1914	533
782	1916	531
783	1917	528
784	1919	525
785	1920	522
786	1922	520
787	1924	517
788	1925	514
789	1927	512
790	1929	509
791	1931	507
792	1933	504
793	1934	501
794	1936	499
795	1937	496
796	1939	493
797	1940	491
798	1943	488
799	1944	486
800	1946	483
801	1947	480
802	1949	478
803	1951	475
804	1952	472
805	1954	470
806	1956	467
807	1958	465
808	1960	462
809	1961	460
810	1963	457
811	1964	454
812	1966	452
813	1967	449
814	1969	447
815	1971	444
816	1973	442
817	1975	439
818	1976	436
819	1978	434
820	1979	431
821	1981	429
822	1983	426
823	1984	423
824	1986	421
825	1988	418
826	1990	416
827	1991	413
828	1993	411
829	1995	408
830	1997	406
831	1999	403
832	2001	401
833	2002	398
834	2004	396
835	2005	393
836	2007	390
837	2008	388
838	2010	385
839	2012	383
840	2014	380
841	2015	378
842	2017	375
843	2019	373
844	2021	370
845	2023	368
846	2024	365
847	2025	363
848	2027	360
849	2029	358
850	2031	355
851	2033	353
852	2034	350
853	2036	348
854	2037	345
855	2039	343
856	2041	340
857	2042	338
858	2044	335
859	2046	333
860	2048	330
861	2049	328
862	2051	325
863	2052	323
864	2054	320
865	2055	318
866	2057	315
867	2059	313
868	2061	310
869	2062	308
870	2064	305
871	2065	303
872	2067	300
873	2069	298
874	2071	295
875	2073	293
876	2074	290
877	2076	288
878	2078	286
879	2080	283
880	2082	281
881	2084	278
882	2085	276
883	2088	274
884	2090	271
885	2092	269
886	2094	266
887	2095	264
888	2097	261
889	2098	259
890	2100	256
891	2102	254
892	2104	252
893	2106	249
894	2107	247
895	2109	244
896	2110	242
897	2112	239
898	2113	237
899	2115	235
900	2117	232
901	2119	230
902	2120	227
903	2122	225
904	2123	222
905	2125	220
906	2126	218
907	2128	215
908	2130	213
909	2132	210
910	2133	208
911	2135	206
912	2137	203
913	2138	201
914	2140	198
915	2141	196
916	2143	193
917	2145	191
918	2146	189
919	2148	186
920	2150	184
921	2152	182
922	2153	179
923	2155	177
924	2156	174
925	2158	172
926	2160	170
927	2161	167
928	2163	165
929	2165	162
930	2166	160
931	2168	158
932	2169	155
933	2171	153
934	2172	151
935	2174	148
936	2176	146
937	2178	144
938	2180	141
939	2181	139
940	2183	136
941	2185	134
942	2186	132
943	2188	129
944	2190	127
945	2192	125
946	2193	122
947	2195	120
948	2196	118
949	2198	115
950	2199	113
951	2201	111
952	2203	108
953	2205	106
954	2207	104
955	2208	101
956	2210	99
957	2211	96
958	2213	94
959	2214	92
960	2216	89
961	2218	87
962	2220	85
963	2222	82
964	2224	80
965	2225	78
966	2227	76
967	2228	73
968	2229	71
969	2232	69
970	2234	66
971	2236	64
972	2238	62
973	2239	59
974	2240	57
975	2242	55
976	2244	52
977	2245	50
978	2247	48
979	2249	45
980	2251	43
981	2253	41
982	2254	38
983	2256	36
984	2257	34
985	2258	32
986	2260	29
987	2262	27
988	2264	25
989	2266	22
990	2267	20
991	2269	18
992	2271	16
993	2272	13
994	2274	11
995	2276	9
996	2278	6
997	2280	4
998	2282	2
999	2283	0
